Item,"All
consumer
units","Less
than
$15,000","$15,000
to
$29,999","$30,000
to
$39,999","$40,000
to
$49,999","$50,000
to
$69,999","$70,000
to
$99,999","$100,000
to
$149,999","$150,000
to
$199,999","$200,000
and
more"
Number of consumer units (in thousands),"130,001","16,887","22,385","13,039","10,655","17,068","19,324","16,501","6,947","7,195"
,,,,,,,,,,
Consumer unit characteristics:,,,,,,,,,,
,,,,,,,,,,
Income before taxes,,,,,,,,,,
Mean,"$73,573","$7,860","$22,315","$34,685","$44,771","$59,382","$83,829","$120,288","$170,234","$306,051"
SE,"1,098.20",182.41,214.62,233.92,380.21,503.60,400.23,628.72,"1,539.02","7,931.16"
CV(%),1.49,2.32,.96,.67,.85,.85,.48,.52,.90,2.59
Income after taxes,,,,,,,,,,
Mean,"63,606","8,229","23,194","34,755","43,173","55,025","75,075","103,729","140,346","225,284"
SE,767.93,190.47,238.13,249.21,403.64,540.51,422.78,619.79,"1,546.25","4,471.37"
CV(%),1.21,2.31,1.03,.72,.93,.98,.56,.60,1.10,1.98
,,,,,,,,,,
Age of reference person,50.9,51.2,57.2,52.8,50.9,48.5,47.8,47.8,48.8,50.7
,,,,,,,,,,
Average number in consumer unit:,,,,,,,,,,
People,2.5,1.6,1.9,2.3,2.4,2.6,2.9,3.1,3.1,3.1
Children under 18,.6,.3,.4,.5,.5,.6,.7,.8,.8,.7
Adults 65 and older,.4,.4,.6,.6,.5,.4,.3,.2,.2,.2
Earners,1.3,.5,.6,1.0,1.2,1.5,1.8,2.0,2.1,2.1
Vehicles,1.9,.9,1.3,1.7,1.8,2.0,2.3,2.6,2.8,2.9
,,,,,,,,,,
Percent distribution:,,,,,,,,,,
,,,,,,,,,,
Reference person:,,,,,,,,,,
Men,47,39,39,44,45,48,52,56,60,59
Women,53,61,61,56,55,52,48,44,40,41
,,,,,,,,,,
Housing tenure:,,,,,,,,,,
Homeowner,63,36,52,56,61,62,71,82,88,88
With mortgage,36,11,15,21,32,37,49,63,67,69
Without mortgage,27,25,37,35,29,25,21,19,21,19
Renter,37,64,48,44,39,38,29,18,12,12
,,,,,,,,,,
Race of reference person:,,,,,,,,,,
Black or African-American,13,21,16,17,14,12,11,8,5,7
"White, Asian, and all other races",87,79,84,83,86,88,89,92,95,93
,,,,,,,,,,
Hispanic or Latino origin of reference person:,,,,,,,,,,
Hispanic or Latino,14,16,15,16,16,17,13,10,6,6
Not Hispanic or Latino,86,84,85,84,84,83,87,90,94,94
,,,,,,,,,,
Education of reference person:,,,,,,,,,,
Elementary (1-8),3,6,5,4,4,3,2,1,a/,a/
High school (9-12),30,42,43,38,33,28,23,15,11,6
College,67,50,51,58,63,68,76,84,88,93
Never attended and other,a/,1,a/,a/,a/,a/,a/,a/,b/,b/
,,,,,,,,,,
At least one vehicle owned or leased,88,61,82,92,92,95,96,97,97,97
,,,,,,,,,,
Average annual expenditures,,,,,,,,,,
Mean,"$60,060","$24,607","$33,300","$41,550","$46,258","$54,216","$66,116","$86,170","$115,404","$161,247"
SE,681.34,618.32,666.95,617.74,946.61,948.16,829.97,"1,108.68","2,766.85","3,514.76"
CV(%),1.13,2.51,2.00,1.49,2.05,1.75,1.26,1.29,2.40,2.18
,,,,,,,,,,
Food,,,,,,,,,,
Mean,"7,729","3,938","4,806","5,878","6,598","7,443","8,385","10,918","12,171","16,309"
Share,12.9,16.0,14.4,14.1,14.3,13.7,12.7,12.7,10.5,10.1
SE,89.36,156.62,138.18,205.11,260.76,218.67,187.93,232.35,336.73,373.42
CV(%),1.16,3.98,2.88,3.49,3.95,2.94,2.24,2.13,2.77,2.29
Food at home,,,,,,,,,,
Mean,"4,363","2,467","3,117","3,780","3,830","4,159","4,720","6,001","6,270","7,626"
Share,7.3,10.0,9.4,9.1,8.3,7.7,7.1,7.0,5.4,4.7
SE,50.10,98.65,106.48,168.04,145.25,155.68,127.13,182.49,206.04,256.57
CV(%),1.15,4.00,3.42,4.45,3.79,3.74,2.69,3.04,3.29,3.36
Cereals and bakery products,,,,,,,,,,
Mean,564,320,411,502,506,548,605,740,765,"1,028"
Share,.9,1.3,1.2,1.2,1.1,1.0,.9,.9,.7,.6
SE,9.42,16.37,15.84,27.86,29.29,24.09,22.18,29.87,32.65,106.03
CV(%),1.67,5.12,3.86,5.55,5.79,4.39,3.66,4.04,4.27,10.32
Cereals and cereal products,,,,,,,,,,
Mean,176,100,124,162,151,167,197,251,248,278
Share,.3,.4,.4,.4,.3,.3,.3,.3,.2,.2
SE,3.52,6.59,6.21,11.80,10.76,9.85,9.51,12.61,16.96,17.68
CV(%),2.00,6.60,4.99,7.29,7.12,5.89,4.84,5.02,6.83,6.37
Bakery products,,,,,,,,,,
Mean,388,220,286,340,354,381,409,489,517,750
Share,.6,.9,.9,.8,.8,.7,.6,.6,.4,.5
SE,7.68,12.20,12.23,19.70,24.10,17.27,15.36,20.82,23.93,99.41
CV(%),1.98,5.54,4.27,5.79,6.80,4.53,3.76,4.26,4.63,13.25
"Meats, poultry, fish, and eggs",,,,,,,,,,
Mean,944,539,703,868,894,916,970,"1,302","1,279","1,520"
Share,1.6,2.2,2.1,2.1,1.9,1.7,1.5,1.5,1.1,.9
SE,12.89,32.54,32.47,51.55,54.59,45.51,36.42,56.40,61.62,90.42
CV(%),1.37,6.03,4.62,5.94,6.10,4.97,3.76,4.33,4.82,5.95
Beef,,,,,,,,,,
Mean,253,143,189,230,230,278,268,350,350,337
Share,.4,.6,.6,.6,.5,.5,.4,.4,.3,.2
SE,4.86,11.78,15.62,21.64,17.37,22.19,17.48,23.02,29.92,19.26
CV(%),1.92,8.22,8.28,9.40,7.54,7.98,6.53,6.58,8.55,5.71
Pork,,,,,,,,,,
Mean,181,102,148,178,163,168,186,237,260,281
Share,.3,.4,.4,.4,.4,.3,.3,.3,.2,.2
SE,4.59,8.69,9.56,18.54,14.41,10.74,10.70,15.44,18.03,42.66
CV(%),2.53,8.48,6.44,10.40,8.83,6.38,5.75,6.51,6.93,15.16
Other meats,,,,,,,,,,
Mean,128,73,97,112,132,121,135,188,153,191
Share,.2,.3,.3,.3,.3,.2,.2,.2,.1,.1
SE,5.32,9.01,6.55,11.93,28.09,8.41,7.45,21.01,12.16,16.64
CV(%),4.15,12.32,6.74,10.66,21.28,6.93,5.53,11.20,7.93,8.71
Poultry,,,,,,,,,,
Mean,186,124,134,176,173,176,187,256,227,316
Share,.3,.5,.4,.4,.4,.3,.3,.3,.2,.2
SE,4.85,8.94,8.41,18.20,11.64,13.39,8.29,12.83,18.97,21.75
CV(%),2.61,7.19,6.28,10.35,6.74,7.60,4.44,5.00,8.35,6.88
Fish and seafood,,,,,,,,,,
Mean,140,61,92,125,149,118,139,201,210,294
Share,.2,.2,.3,.3,.3,.2,.2,.2,.2,.2
SE,5.05,8.96,7.74,11.32,18.82,11.24,10.51,15.81,22.78,35.81
CV(%),3.61,14.81,8.40,9.08,12.66,9.49,7.54,7.87,10.82,12.19
Eggs,,,,,,,,,,
Mean,55,36,43,47,47,54,55,70,78,101
Share,.1,.1,.1,.1,.1,.1,.1,.1,.1,.1
SE,1.16,1.84,2.20,3.25,4.05,3.75,2.75,4.47,6.62,6.29
CV(%),2.10,5.13,5.12,6.99,8.54,6.97,4.99,6.36,8.54,6.24
Dairy products,,,,,,,,,,
Mean,450,254,321,354,379,426,498,633,658,811
Share,.7,1.0,1.0,.9,.8,.8,.8,.7,.6,.5
SE,8.05,13.51,13.36,18.49,19.28,19.08,16.38,28.14,32.54,27.83
CV(%),1.79,5.33,4.16,5.22,5.08,4.48,3.29,4.44,4.94,3.43
Fresh milk and cream,,,,,,,,,,
Mean,147,93,110,133,130,142,159,188,207,243
Share,.2,.4,.3,.3,.3,.3,.2,.2,.2,.2
SE,3.06,5.90,5.65,8.94,7.64,7.69,7.98,9.30,12.43,10.56
CV(%),2.09,6.38,5.13,6.74,5.87,5.42,5.02,4.96,5.99,4.35
Other dairy products,,,,,,,,,,
Mean,303,161,211,222,249,284,339,446,451,568
Share,.5,.7,.6,.5,.5,.5,.5,.5,.4,.4
SE,6.00,9.00,9.90,13.40,18.57,13.76,12.11,20.87,26.64,23.35
CV(%),1.98,5.58,4.69,6.04,7.46,4.85,3.57,4.68,5.91,4.11
Fruits and vegetables,,,,,,,,,,
Mean,837,456,593,699,682,774,936,"1,155","1,238","1,559"
Share,1.4,1.9,1.8,1.7,1.5,1.4,1.4,1.3,1.1,1.0
SE,14.30,29.75,23.74,31.72,33.49,37.66,33.76,51.86,61.89,70.48
CV(%),1.71,6.53,4.00,4.54,4.91,4.86,3.61,4.49,5.00,4.52
Fresh fruits,,,,,,,,,,
Mean,314,166,218,242,236,279,352,458,483,627
Share,.5,.7,.7,.6,.5,.5,.5,.5,.4,.4
SE,6.23,15.88,10.88,12.85,13.89,15.75,15.49,25.04,31.85,37.17
CV(%),1.98,9.58,4.98,5.31,5.89,5.64,4.40,5.47,6.60,5.93
Fresh vegetables,,,,,,,,,,
Mean,274,140,189,240,222,252,308,382,404,529
Share,.5,.6,.6,.6,.5,.5,.5,.4,.4,.3
SE,5.67,11.49,9.65,16.14,15.53,14.23,12.35,15.95,25.25,32.60
CV(%),2.07,8.23,5.12,6.72,7.01,5.65,4.01,4.18,6.25,6.16
Processed fruits,,,,,,,,,,
Mean,112,67,81,94,97,103,133,142,162,195
Share,.2,.3,.2,.2,.2,.2,.2,.2,.1,.1
SE,3.14,5.67,4.98,7.87,7.22,7.53,7.50,10.57,11.56,15.87
CV(%),2.80,8.41,6.17,8.38,7.41,7.30,5.63,7.44,7.13,8.13
Processed vegetables,,,,,,,,,,
Mean,136,83,105,123,127,140,143,173,188,207
Share,.2,.3,.3,.3,.3,.3,.2,.2,.2,.1
SE,3.06,6.65,6.06,7.77,8.82,9.46,6.43,10.31,16.81,16.55
CV(%),2.25,8.00,5.75,6.32,6.96,6.75,4.49,5.95,8.92,7.99
Other food at home,,,,,,,,,,
Mean,"1,568",898,"1,088","1,357","1,370","1,494","1,712","2,171","2,330","2,709"
Share,2.6,3.6,3.3,3.3,3.0,2.8,2.6,2.5,2.0,1.7
SE,20.79,35.20,41.47,70.69,58.78,56.30,49.49,65.39,85.49,103.06
CV(%),1.33,3.92,3.81,5.21,4.29,3.77,2.89,3.01,3.67,3.80
Sugar and other sweets,,,,,,,,,,
Mean,150,76,101,139,134,148,165,194,221,270
Share,.2,.3,.3,.3,.3,.3,.3,.2,.2,.2
SE,3.83,4.74,5.02,13.59,11.89,8.29,10.88,10.63,14.59,16.33
CV(%),2.56,6.20,4.95,9.75,8.87,5.61,6.58,5.48,6.61,6.04
Fats and oils,,,,,,,,,,
Mean,117,73,91,107,109,107,122,157,168,179
Share,.2,.3,.3,.3,.2,.2,.2,.2,.1,.1
SE,2.98,5.68,5.96,8.82,8.84,5.96,6.10,7.69,13.84,16.36
CV(%),2.55,7.74,6.55,8.21,8.10,5.57,5.02,4.91,8.25,9.14
Miscellaneous foods,,,,,,,,,,
Mean,824,474,543,664,706,785,903,"1,188","1,273","1,431"
Share,1.4,1.9,1.6,1.6,1.5,1.4,1.4,1.4,1.1,.9
SE,13.11,23.77,23.97,37.28,37.95,29.43,28.58,43.48,66.07,63.60
CV(%),1.59,5.02,4.42,5.62,5.37,3.75,3.17,3.66,5.19,4.44
Nonalcoholic beverages,,,,,,,,,,
Mean,423,259,331,398,386,413,455,547,551,646
Share,.7,1.1,1.0,1.0,.8,.8,.7,.6,.5,.4
SE,7.49,13.38,15.53,25.36,18.41,24.28,17.88,21.87,39.95,45.67
CV(%),1.77,5.17,4.69,6.36,4.77,5.87,3.93,4.00,7.25,7.07
Food prepared by consumer unit on out-of-town trips,,,,,,,,,,
Mean,56,15,22,48,34,41,67,85,118,182
Share,.1,.1,.1,.1,.1,.1,.1,.1,.1,.1
SE,2.76,3.78,3.69,6.02,5.56,4.06,4.68,6.52,11.62,19.79
CV(%),4.94,24.55,16.95,12.60,16.39,9.99,6.94,7.65,9.88,10.86
Food away from home,,,,,,,,,,
Mean,"3,365","1,471","1,689","2,098","2,767","3,284","3,665","4,917","5,901","8,683"
Share,5.6,6.0,5.1,5.0,6.0,6.1,5.5,5.7,5.1,5.4
SE,58.55,95.51,64.75,104.33,188.21,159.46,110.55,126.20,234.59,259.18
CV(%),1.74,6.49,3.83,4.97,6.80,4.85,3.02,2.57,3.98,2.98
,,,,,,,,,,
Alcoholic beverages,,,,,,,,,,
Mean,558,163,210,305,371,480,647,901,"1,026","1,806"
Share,.9,.7,.6,.7,.8,.9,1.0,1.0,.9,1.1
SE,19.83,25.09,24.34,36.22,43.90,38.27,61.55,55.04,106.51,112.38
CV(%),3.55,15.41,11.61,11.86,11.84,7.97,9.51,6.11,10.38,6.22
,,,,,,,,,,
Housing,,,,,,,,,,
Mean,"19,884","9,783","12,817","14,585","16,216","18,446","21,933","26,684","35,589","47,410"
Share,33.1,39.8,38.5,35.1,35.1,34.0,33.2,31.0,30.8,29.4
SE,231.74,269.43,219.44,214.16,314.15,299.37,391.11,384.53,"1,233.28","1,174.43"
CV(%),1.17,2.75,1.71,1.47,1.94,1.62,1.78,1.44,3.47,2.48
Shelter,,,,,,,,,,
Mean,"11,895","5,982","7,662","8,471","9,550","10,789","13,018","15,737","22,062","29,602"
Share,19.8,24.3,23.0,20.4,20.6,19.9,19.7,18.3,19.1,18.4
SE,156.80,203.44,182.38,155.59,221.40,188.21,238.33,285.71,"1,055.43",801.95
CV(%),1.32,3.40,2.38,1.84,2.32,1.74,1.83,1.82,4.78,2.71
Owned dwellings,,,,,,,,,,
Mean,"6,947","1,887","2,861","3,677","4,894","5,541","7,820","11,164","16,971","22,134"
Share,11.6,7.7,8.6,8.8,10.6,10.2,11.8,13.0,14.7,13.7
SE,133.28,106.14,127.58,133.61,236.49,158.76,207.68,282.63,"1,101.00",790.32
CV(%),1.92,5.62,4.46,3.63,4.83,2.86,2.66,2.53,6.49,3.57
Mortgage interest and charges,,,,,,,,,,
Mean,"3,265",592,834,"1,282","2,024","2,515","3,880","5,879","8,521","11,588"
Share,5.4,2.4,2.5,3.1,4.4,4.6,5.9,6.8,7.4,7.2
SE,73.29,51.30,55.28,70.59,143.28,85.91,121.48,187.45,430.68,490.62
CV(%),2.24,8.66,6.63,5.51,7.08,3.42,3.13,3.19,5.05,4.23
Property taxes,,,,,,,,,,
Mean,"2,065",710,"1,022","1,272","1,571","1,643","2,224","3,076","4,689","6,389"
Share,3.4,2.9,3.1,3.1,3.4,3.0,3.4,3.6,4.1,4.0
SE,46.07,41.63,51.41,55.91,84.82,65.99,82.52,114.33,141.82,226.69
CV(%),2.23,5.86,5.03,4.40,5.40,4.02,3.71,3.72,3.02,3.55
